fold,direction,target_prec,k,tau,units,units_excluded_lt_k,n_alerts,n_hits,precision,alerts_per_unit,recall_of_movers
4,down,0.2,5,-2.2765564918518066,65,2,258,34,0.13178294573643412,3.9692307692307693,0.3008849557522124
4,down,0.2,10,-2.2765564918518066,61,6,459,56,0.12200435729847495,7.524590163934426,0.49557522123893805
4,down,0.2,15,-2.2765564918518066,58,9,592,63,0.10641891891891891,10.206896551724139,0.5575221238938053
4,down,0.2,20,-2.2765564918518066,53,14,624,63,0.10096153846153846,11.773584905660377,0.5575221238938053
4,down,0.3,5,-0.059517085552215576,65,2,225,30,0.13333333333333333,3.4615384615384617,0.26548672566371684
4,down,0.3,10,-0.059517085552215576,61,6,374,51,0.13636363636363635,6.131147540983607,0.45132743362831856
4,down,0.3,15,-0.059517085552215576,58,9,410,55,0.13414634146341464,7.068965517241379,0.48672566371681414
4,down,0.3,20,-0.059517085552215576,53,14,404,54,0.13366336633663367,7.622641509433962,0.4778761061946903
4,down,0.4,5,1.6676909923553467,65,2,183,28,0.15300546448087432,2.8153846153846156,0.24778761061946902
4,down,0.4,10,1.6676909923553467,61,6,247,36,0.145748987854251,4.049180327868853,0.3185840707964602
4,down,0.4,15,1.6676909923553467,58,9,253,36,0.1422924901185771,4.362068965517241,0.3185840707964602
4,down,0.4,20,1.6676909923553467,53,14,248,36,0.14516129032258066,4.679245283018868,0.3185840707964602
4,up,0.2,5,-0.9406654238700867,65,2,286,41,0.14335664335664336,4.4,0.271523178807947
4,up,0.2,10,-0.9406654238700867,61,6,500,76,0.152,8.19672131147541,0.5033112582781457
4,up,0.2,15,-0.9406654238700867,58,9,659,96,0.1456752655538695,11.362068965517242,0.6357615894039735
4,up,0.2,20,-0.9406654238700867,53,14,765,112,0.14640522875816994,14.433962264150944,0.7417218543046358
4,up,0.3,5,0.3045268654823303,65,2,267,40,0.149812734082397,4.107692307692307,0.26490066225165565
4,up,0.3,10,0.3045268654823303,61,6,426,74,0.17370892018779344,6.983606557377049,0.4900662251655629
4,up,0.3,15,0.3045268654823303,58,9,514,89,0.17315175097276264,8.862068965517242,0.5894039735099338
4,up,0.3,20,0.3045268654823303,53,14,554,94,0.16967509025270758,10.452830188679245,0.6225165562913907
4,up,0.4,5,1.088519811630249,65,2,241,38,0.15767634854771784,3.707692307692308,0.25165562913907286
4,up,0.4,10,1.088519811630249,61,6,344,63,0.18313953488372092,5.639344262295082,0.41721854304635764
4,up,0.4,15,1.088519811630249,58,9,387,69,0.17829457364341086,6.672413793103448,0.45695364238410596
4,up,0.4,20,1.088519811630249,53,14,387,71,0.1834625322997416,7.30188679245283,0.47019867549668876
